"closed_month","gross_deal_value"
"2021-04",2059197.0
"2021-06",1881630.0
"2021-05",1638307.0
"2020-12",1443854.0
"2021-03",1431441.0
"2019-12",1318902.0
"2021-02",1188353.0
"2020-11",1138492.0
"2020-05",1110837.0
"2021-01",1099828.0
"2020-02",1012390.0
"2020-07",994985.0
"2020-04",941929.0
"2020-01",895563.0
"2020-06",893906.0
"2020-08",817862.0
"2020-10",777448.0
"2019-07",770188.0
"2019-02",745827.0
"2020-09",740038.0
"2019-10",725702.0
"2019-06",707015.0
"2020-03",692483.0
"2021-07",660070.0
"2019-11",608484.0
"2019-08",448456.0
"2019-05",422240.0
"2019-01",375837.0
"2019-09",367632.0
"2018-12",328095.0
"2019-03",294879.0
"2019-04",272305.0
"2018-11",250898.0
"2018-07",225432.0
"2018-06",204273.0
"2018-10",142138.0
"2018-08",119112.0
"2018-09",90031.0
